iter	Accuracy	MultiClass
645	0.9927069927	0.1683587652
646	0.9928499928	0.1678154803
647	0.9928499928	0.1675034602
648	0.9928499928	0.1670931474
649	0.9928499928	0.166882993
650	0.992992993	0.1664133498
651	0.992992993	0.1662773249
652	0.992992993	0.1658419825
653	0.992992993	0.1657260752
654	0.992992993	0.1654745651
655	0.992992993	0.1652213039
656	0.992992993	0.1649765824
657	0.992992993	0.1648232728
658	0.9931359931	0.164625873
659	0.9934219934	0.1640670754
660	0.9932789933	0.1638192274
661	0.9931359931	0.1635038864
662	0.9932789933	0.1630029884
663	0.9935649936	0.1626178043
664	0.9938509939	0.1621301733
665	0.993993994	0.1617733185
666	0.993993994	0.1613278198
667	0.993993994	0.1609947541
668	0.993993994	0.1608082355
669	0.993993994	0.1605346303
670	0.993993994	0.1601398081
671	0.993993994	0.1597455433
672	0.9941369941	0.1594059692
673	0.9941369941	0.1590989151
674	0.9938509939	0.1589367947
675	0.993993994	0.1587172987
676	0.993993994	0.158457284
677	0.9941369941	0.1580534253
678	0.9942799943	0.1575789542
679	0.9942799943	0.1572193973
680	0.9942799943	0.1570155698
681	0.9944229944	0.1564666419
682	0.9944229944	0.1562983385
683	0.9944229944	0.1561105321
684	0.9944229944	0.1559310982
685	0.9948519949	0.1556408259
686	0.9947089947	0.1555002507
687	0.9947089947	0.1550413314
688	0.9947089947	0.1547817625
689	0.9947089947	0.1546522126
690	0.9948519949	0.1543759007
691	0.994994995	0.154068727
692	0.9948519949	0.1538349006
693	0.9948519949	0.15355701
694	0.9948519949	0.153456073
695	0.994994995	0.1531506456
696	0.994994995	0.1529365996
697	0.9951379951	0.1525487572
698	0.994994995	0.1523374101
699	0.994994995	0.1520509511
700	0.994994995	0.1518795944
701	0.994994995	0.151608978
702	0.994994995	0.1513927096
703	0.994994995	0.1512125414
704	0.994994995	0.1510745242
705	0.994994995	0.1509607418
706	0.994994995	0.1508795764
707	0.994994995	0.1506175745
708	0.994994995	0.1503547136
709	0.994994995	0.1499097462
710	0.9951379951	0.1495110987
711	0.9951379951	0.1491819087
712	0.9951379951	0.1490472357
713	0.9952809953	0.1488785011
714	0.9952809953	0.148646447
715	0.9952809953	0.1483640461
716	0.9951379951	0.1480633255
717	0.9951379951	0.14784699
718	0.9952809953	0.1477234561
719	0.9954239954	0.1474454541
720	0.9951379951	0.14713303
721	0.9952809953	0.1467355048
722	0.9954239954	0.1463203528
723	0.9952809953	0.1462293935
724	0.9955669956	0.1459353109
725	0.9955669956	0.1455911555
726	0.9957099957	0.1454226227
727	0.9957099957	0.1452756872
728	0.9957099957	0.1450724494
729	0.9955669956	0.1448619631
730	0.9955669956	0.1444961175
731	0.9957099957	0.1442295568
732	0.9957099957	0.1440041211
733	0.9957099957	0.1438092201
734	0.9958529959	0.1435709573
735	0.995995996	0.1434776107
736	0.995995996	0.1432793276
737	0.995995996	0.1429654171
738	0.995995996	0.1426841524
739	0.9961389961	0.1422592658
740	0.9961389961	0.1418665181
741	0.9961389961	0.1415145794
742	0.9961389961	0.1413577633
743	0.9961389961	0.1412251884
744	0.9961389961	0.1409346078
745	0.9961389961	0.1408258911
746	0.9961389961	0.1405519373
747	0.9961389961	0.1404224245
748	0.9961389961	0.1402907205
749	0.9962819963	0.1398638826
750	0.9962819963	0.1396257396
751	0.9965679966	0.1393655344
752	0.9965679966	0.1391607763
753	0.9964249964	0.1390686652
754	0.9965679966	0.1388540489
755	0.9965679966	0.1386975885
756	0.9965679966	0.1385587293
757	0.9965679966	0.1384512879
758	0.9965679966	0.138216188
759	0.9967109967	0.1380395966
760	0.9967109967	0.1377850308
761	0.9967109967	0.1375720784
762	0.9965679966	0.1372345336
763	0.9967109967	0.1368417469
764	0.9967109967	0.1366771029
765	0.9965679966	0.1364955448
766	0.9968539969	0.1363200206
767	0.9968539969	0.1360426723
768	0.9968539969	0.1359226163
769	0.9968539969	0.1357400856
770	0.9968539969	0.1355116556
771	0.9968539969	0.1351816831
772	0.9968539969	0.1349078544
773	0.9967109967	0.1345935297
774	0.9965679966	0.1344141529
775	0.9965679966	0.1339770064
776	0.9965679966	0.1338867034
777	0.9965679966	0.1337735531
778	0.9965679966	0.1335058154
779	0.9967109967	0.1334498515
780	0.9967109967	0.1331756751
781	0.9968539969	0.1329056898
782	0.9967109967	0.132744164
783	0.996996997	0.1326062033
784	0.996996997	0.1324449513
785	0.996996997	0.1321190925
786	0.9967109967	0.1319092413
787	0.996996997	0.1317825309
788	0.9972829973	0.1314946479
789	0.9972829973	0.1313012812
790	0.9971399971	0.1311849315
791	0.9972829973	0.1310176202
792	0.9972829973	0.1307678289
793	0.9971399971	0.1305566217
794	0.9971399971	0.130323523
795	0.9972829973	0.1300889186
796	0.9972829973	0.1298724754
797	0.9972829973	0.1297862885
798	0.9974259974	0.1295656119
799	0.9972829973	0.1293758152
800	0.9972829973	0.1289077165
801	0.9974259974	0.1287226992
802	0.9974259974	0.1285828066
803	0.9974259974	0.1282495651
804	0.9974259974	0.1278032133
805	0.9974259974	0.1275083639
806	0.9974259974	0.1272460562
807	0.9974259974	0.12713615
808	0.9974259974	0.1270226791
809	0.9974259974	0.1266855465
810	0.9974259974	0.12656798
811	0.9974259974	0.1264778085
812	0.9974259974	0.1262080866
813	0.9974259974	0.1260502017
814	0.9974259974	0.125958552
815	0.9975689976	0.1255957959
816	0.9975689976	0.125498563
817	0.9974259974	0.125295782
818	0.9974259974	0.1251668652
819	0.9974259974	0.1250540304
820	0.9974259974	0.1249049
821	0.9974259974	0.1246687848
822	0.9974259974	0.1245163996
823	0.9974259974	0.1244090467
824	0.9974259974	0.1241348532
825	0.9974259974	0.1239150417
826	0.9975689976	0.1237602423
827	0.9974259974	0.1236154882
828	0.9974259974	0.1235095723
829	0.9975689976	0.1233862636
830	0.9975689976	0.1231569787
831	0.9974259974	0.1229867802
832	0.9974259974	0.1228234861
833	0.9975689976	0.1226007297
834	0.9975689976	0.1223694445
835	0.9975689976	0.1221587121
836	0.9975689976	0.121886709
837	0.9975689976	0.1217101981
838	0.9975689976	0.1216060901
839	0.9975689976	0.1214469639
840	0.9975689976	0.1213373226
841	0.9977119977	0.1209643274
842	0.9978549979	0.1208184779
843	0.9977119977	0.1206297777
844	0.9978549979	0.1205469304
845	0.9977119977	0.1204352323
846	0.9977119977	0.120340519
847	0.9977119977	0.1202322699
848	0.9977119977	0.1201775336
849	0.9978549979	0.1200531625
850	0.997997998	0.1197514535
851	0.9981409981	0.1195222549
852	0.9981409981	0.1194202165
853	0.9981409981	0.1193489393
854	0.9981409981	0.1191317049
855	0.9981409981	0.1190533225
856	0.9981409981	0.1187616388
857	0.9981409981	0.1186094554
858	0.9981409981	0.1184424506
859	0.9981409981	0.1182316592
860	0.9981409981	0.1179915583
861	0.9981409981	0.1177875298
862	0.997997998	0.1177131093
863	0.997997998	0.1176231299
864	0.9981409981	0.1175168985
865	0.9981409981	0.1174546397
866	0.9981409981	0.1173130046
867	0.9981409981	0.1171914987
868	0.9981409981	0.1169082738
869	0.9981409981	0.1168223534
870	0.9981409981	0.1167465074
871	0.9981409981	0.1165012179
872	0.9981409981	0.1162321219
873	0.9981409981	0.1160893951
874	0.9981409981	0.1158649835
875	0.9981409981	0.1155736492
876	0.9981409981	0.1152911432
877	0.9981409981	0.115127391
878	0.9981409981	0.1149512425
879	0.9981409981	0.1147764682
880	0.9981409981	0.1146824581
881	0.9981409981	0.1143303181
882	0.9982839983	0.1142223024
883	0.9982839983	0.1141519871
884	0.9984269984	0.1139514141
885	0.9984269984	0.1138596766
